DATE,SP_INDEX
01/10/1993,0.019392936
01/11/1993,-0.012910673
01/12/1993,0.010091167
01/01/1994,0.032500804
01/02/1994,-0.030045057
01/03/1994,-0.045746457
01/04/1994,0.01153061
01/05/1994,0.012397152
01/06/1994,-0.0267908
01/07/1994,0.03148986
01/08/1994,0.037598743
01/09/1994,-0.026877537
01/10/1994,0.020833784
01/11/1994,-0.039504605
01/12/1994,0.012299147
01/01/1995,0.024277658
01/02/1995,0.036074147
01/03/1995,0.027329244
01/04/1995,0.027960296
01/05/1995,0.03631171
01/06/1995,0.02127859
01/07/1995,0.031776044
01/08/1995,-0.000320251
01/09/1995,0.04009753
01/10/1995,-0.004979381
01/11/1995,0.041049011
01/12/1995,0.017443877
01/01/1996,0.032617343
01/02/1996,0.006933744
01/03/1996,0.007916556
01/04/1996,0.013431448
01/05/1996,0.022853387
01/06/1996,0.002256695
01/07/1996,-0.045748028
01/08/1996,0.01881397
01/09/1996,0.054203285
01/10/1996,0.026101
01/11/1996,0.073376154
01/12/1996,-0.021505376
01/01/1997,0.061317061
01/02/1997,0.005927547
01/03/1997,-0.042613996
01/04/1997,0.058405537
01/05/1997,0.058576884
01/06/1997,0.043452634
01/07/1997,0.07814583
01/08/1997,-0.057465603
01/09/1997,0.053153524
01/10/1997,-0.034477662
01/11/1997,0.044586823
01/12/1997,0.015731631
01/01/1998,0.01015014
01/02/1998,0.070449259
01/03/1998,0.04994568
01/04/1998,0.009076469
01/05/1998,-0.018826175
01/06/1998,0.039438221
01/07/1998,-0.011615395
01/08/1998,-0.145796711
01/09/1998,0.062395537
01/10/1998,0.080294196
01/11/1998,0.059126034
01/12/1998,0.056375308
01/01/1999,0.041009412
01/02/1999,-0.032282517
01/03/1999,0.038794182
01/04/1999,0.037943982
01/05/1999,-0.024970416
01/06/1999,0.054438333
01/07/1999,-0.032046099
01/08/1999,-0.006254139
01/09/1999,-0.028551738
01/10/1999,0.062539467
01/11/1999,0.019179268
01/12/1999,0.057722073
01/01/2000,-0.050903522
01/02/2000,-0.020108142
01/03/2000,0.096719896
01/04/2000,-0.03079582
01/05/2000,-0.021914998
01/06/2000,0.023933549
01/07/2000,-0.016341262
01/08/2000,0.060699035
01/09/2000,-0.053482948
01/10/2000,-0.004949496
01/11/2000,-0.08006856
01/12/2000,0.004053386
01/01/2001,0.034636592
01/02/2001,-0.092290686
01/03/2001,-0.06420472
01/04/2001,0.076814355
01/05/2001,0.005090199
01/06/2001,-0.025035435
01/07/2001,-0.01074013
01/08/2001,-0.064108386
