train_f1,val_f1,test_f1,t10y2y_lag,n_estimators,max_depth
0.8,0.4,0.09090909090909091,4,128,2.0
1.0,0.6666666666666666,0.34285714285714286,4,128,8.0
1.0,0.6666666666666666,0.34285714285714286,4,128,
0.7755102040816326,0.4,0.0,4,256,2.0
1.0,0.6666666666666666,0.34285714285714286,4,256,8.0
1.0,0.6666666666666666,0.34285714285714286,4,256,
0.8,0.4,0.09090909090909091,4,512,2.0
1.0,0.6666666666666666,0.34285714285714286,4,512,8.0
1.0,0.6666666666666666,0.34285714285714286,4,512,
0.846153846153846,0.5,0.4444444444444444,20,128,2.0
1.0,0.6666666666666666,0.7368421052631577,20,128,8.0
1.0,0.6666666666666666,0.7368421052631577,20,128,
0.846153846153846,0.42857142857142855,0.5333333333333333,20,256,2.0
1.0,0.6956521739130436,0.7692307692307692,20,256,8.0
1.0,0.6956521739130436,0.7692307692307692,20,256,
0.8235294117647058,0.5,0.5806451612903226,20,512,2.0
1.0,0.6363636363636364,0.7692307692307692,20,512,8.0
1.0,0.6363636363636364,0.7692307692307692,20,512,
